Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.029,1,0.0,0.0,0.0,0.0,2.9,2.9,0.0,0.0
2,0.061,1,0.0,0.0,0.0,0.0,6.1,6.1,0.0,0.0
3,0.111,1,0.0,0.0,0.0,0.0,11.1,11.1,0.0,0.0
4,0.125,1,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0
5,0.167,1,0.0,0.0,0.0,0.0,16.7,16.7,0.0,0.0
6,0.188,1,0.0,0.0,0.0,0.0,18.8,18.8,0.0,0.0
7,0.2,1,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
8,0.25,1,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0
9,0.188,1,100.0,0.0,0.0,0.0,25.0,11.33,0.69,0.0
10,0.222,1,100.0,0.0,0.0,0.0,25.0,14.24,0.9,0.0
11,0.2,1,100.0,0.0,0.0,0.0,25.0,10.87,1.27,0.0
12,0.167,1,100.0,0.0,0.0,0.0,25.0,6.95,1.86,0.0
13,0.171,1,100.0,0.0,0.0,0.0,25.0,7.22,2.32,7.69
14,0.5,1,100.0,100.0,0.0,0.0,50.0,34.06,2.16,7.14
15,0.897,1,100.0,100.0,100.0,0.0,89.7,71.14,2.01,6.67
16,0.9,1,100.0,100.0,100.0,0.0,90.0,71.43,1.89,12.5
17,0.9,1,100.0,100.0,100.0,0.0,90.0,71.43,1.78,17.65
18,0.9,1,100.0,100.0,100.0,0.0,90.0,71.43,1.68,22.22
19,0.897,1,100.0,100.0,100.0,0.0,90.0,70.77,1.61,26.32
20,0.9,1,100.0,100.0,100.0,0.0,90.0,71.05,1.53,30.0
21,0.9,1,100.0,100.0,100.0,0.0,90.0,71.05,1.45,33.33
